title,authors,groups,keywords,topics,abstract
Acquiring Commonsense Knowledge for Sentiment Analysis through Human Computation,"Marina Boia, Claudiu Cristian Musat and Boi Faltings","Human-Computation and Crowd Sourcing (HCC Knowledge Representation and Reasoning (KRR NLP and Machine Learning (NLPML)","human computatio games with a purpos crowdsourcin commonsense knowledg sentiment analysi context","HCC: Domain-specific implementation challenges in human computation game KRR: Knowledge Acquisitio NLPML: Text Classification","Many Artificial Intelligence tasks need large amounts of commonsense knowledge. Because obtaining this knowledge through machine learning would require a huge amount of data, a better alternative is to elicit it from people through human computation. We consider the sentiment classification task, where knowledge about the contexts that impact word polarities is crucial but hard to acquire from data. We show a novel task design that allows us to crowdsource this knowledge through Amazon Mechanical Turk with high quality. We show that the commonsense knowledge acquired in this way dramatically improves the performance of established sentiment classification methods."
Optimistic Adaptive Submodularity at Scale,"Victor Gabillon, Branislav Kveton, Brian Eriksson, S. Muthukrishnan and Zheng Wen","Machine Learning Applications (MLA Novel Machine Learning Algorithms (NMLA Planning and Scheduling (PS Reasoning under Uncertainty (RU)","Submodularit Adaptive submodularit Linear bandit Online learning","APP: Other Application MLA: Machine Learning Applications (General/other NMLA: Active Learnin NMLA: Online Learnin NMLA: Recommender System PS: Planning (General/Other RU: Sequential Decision Making","Maximization of submodular functions has wide applications in artificial intelligence and machine learning. In this work, we study the problem of learning how to maximize an adaptive submodular function. The function is initially unknown and we learn it by interacting repeatedly with the environment. A major problem in applying existing solutions to this problem is that their regret bounds scale linearly with the size of the problem. Therefore, these solutions are impractical even for moderately large problems. In this work, we use the structure of real-world problems to make learning practical. We make three main contributions. First, we propose a practical algorithm for learning how to maximize an adaptive submodular function where the distribution of the states of each item is conditioned on its features. Second, we analyze this algorithm and show that its expected cumulative regret is polylogarithmic in time. Finally, we evaluate our algorithm on two real-world problems, movie recommendation and face detection, and show that high-quality policies can be learned in just several hundred interactions."
Sequential Click Prediction for Sponsored Search with Recurrent Neural Networks,"Yuyu Zhang, Hanjun Dai, Chang Xu, Jun Feng, Taifeng Wang, Jiang Bian, Bin Wang and Tie-Yan Liu",Machine Learning Applications (MLA),"Sponsored Searc Recurrent Neural Networ Sequential Click Prediction","AIW: Enhancing web search and information retrieva AIW: Machine learning and the we MLA: Applications of Supervised Learnin MLA: Machine Learning Applications (General/other)","Click prediction is one of the fundamental problems in sponsored search. Most of existing studies took advantage of machine learning approaches to predict ad click for each event of ad view independently. While these studies aimed at providing a stationary interpretation on ad clicks, they were lack of the capability to understand user clicks in a dynamic way. As observed in real-world sponsored search system, user's behavior on the ad yield high dependency on how the user previously behaved along the time, especially in terms of the queries user submitted, click / non-click on ads, dwell time on landing page, etc. Inspired by these observations, we introduce a novel framework based on Recurrent Neural Networks (RNN) to model user's sequential behaviors into the click prediction process. Compared to traditional methods, this framework aims at effective click prediction by leveraging not only user's stationary historical behaviors but the rich information and patterns implied by user's dynamic sequential behaviors. Large scale evaluations on the click-through logs from a commercial search engine demonstrate that our approach can significantly improve the click prediction accuracy, compared to other time-independent approaches."
Backdoors into Heterogeneous Classes of SAT and CSP,"Serge Gaspers, Neeldhara Misra, Sebastian Ordyniak, Stefan Szeider and Stanislav Živný",Search and Constraint Satisfaction (SCS),"theoretical analysi Constraint Satisfaction Problem (CSP Satisfiability (SAT polymorphis backdoor se parameterized complexity","KRR: Computational Complexity of Reasonin SCS: Constraint Satisfactio SCS: Satisfiability (General/Other SCS: Constraint Satisfaction (General/other)","Backdoor sets represent clever reasoning shortcuts through the search space for SAT and CSP.  By instantiating the backdoor variables one reduces the given instance to several easy instances that belong to a tractable class.  The overall time needed to solve the instance is exponential in the size of the backdoor set, hence it is a challenging problem to find a small backdoor set if one exists; over the last years this problem has been subject of intensive research In this paper we extend the classical notion of a strong backdoor set by allowing that different instantiations of the backdoor variables result in instances that belong to different base classes; the union of the base classes forms a heterogeneous base class.  Backdoor sets to heterogeneous base classes can be much smaller than backdoor sets to homogeneous ones, hence they are much more desirable but possibly harder to find We draw a detailed complexity landscape for the problem of detecting strong backdoor sets into heterogeneous base classes for SAT and CSP. We provide algorithms that establish fixed-parameter tractability under natural parameterizations, and we contrast the tractability results with hardness results that pinpoint the theoretical limits."
Theory of Cooperation in Complex Social Networks,"Bijan Ranjbar-Sahraei, Haitham Bou Ammar, Daan Bloembergen, Karl Tuyls and Gerhard Weiss","Game Theory and Economic Paradigms (GTEP Multiagent Systems (MAS)","coevolutionary network evolution of cooperatio influencing social networks","GTEP: Game Theor GTEP: Coordination and Collaboratio GTEP: Equilibriu MAS: Agent-based Simulation and Emergent Behavio MAS: Coordination and Collaboratio MAS: Evaluation and Analysis (Multiagent Systems)","This paper presents a theoretical as well as empirical study on the evolution of cooperation on complex social networks, following the continuous action iterated prisoner's dilemma (CAIPD) model. In particular, convergence to network-wide agreement is proven for both evolutionary networks with fixed interaction dynamics, as well as for coevolutionary networks where these dynamics change over time. Moreover, an extension to the CAIPD model is proposed that allows to model active influence of the evolution of cooperation in social networks. As such, this work contributes to a better understanding of behavioral change on social networks, and provides a first step towards their active control."
Explanation-Based Approximate Weighted Model Counting for Probabilistic Logics,"Joris Renkens, Angelika Kimmig, Guy Van den Broeck and Luc De Raedt","Knowledge Representation and Reasoning (KRR Reasoning under Uncertainty (RU)","Probabilistic Logic Programmin Bounded Approximate Inferenc Weighted Model Counting","KRR: Logic Programmin RU: Probabilistic Inferenc RU: Relational Probabilistic Models","Probabilistic inference in statistical relational learning and probabilistic programming can be realised using weighted model counting. Despite a lot of progress, computing weighted model counts exactly is still infeasible for most problems of interest, and one typically has to resort to approximation methods. We contribute a new bounded approximation method for weighted model counting based on probabilistic logic programming principles. Our bounded approximation algorithm is an anytime algorithm that provides lower and upper bounds on the weighted model count. An empirical evaluation on probabilistic logic programs shows that our approach is effective in many cases that are currently beyond the reach of exact methods."
A Knowledge Compilation Map for Ordered Real-Valued Decision Diagrams,"Helene Fargier, Pierre Marquis, Alexandre Niveau and Nicolas Schmidt",Knowledge Representation and Reasoning (KRR),"Decision Diagrams (ADD - AADD - OBDD - SLDD Knowledge Compilatio Complexity","KRR: Computational Complexity of Reasonin KRR: Knowledge Representation Language KRR: Preference SCS: Constraint Optimization","Valued decision diagrams (VDDs) are languages that represent functions mapping variable-value assignments to non-negative real numbers. They prove useful to compile cost functions, utility functions, or probability distributions. While the complexity of some queries (notably optimization) and transformations (notably conditioning) on VDD languages has been known for some time, there remain many significant queries and transformations, such as the various kinds of cuts, marginalizations, and combinations, the complexity of which has not been identified so far. This paper contributes to filling this gap and completing previous results about the time and space efficiency of VDD languages, thus leading to a knowledge compilation map for real-valued functions. Our results show that many tasks that are hard on valued CSPs are actually tractable on VDDs."
Prices Matter for the Parameterized Complexity of Shift Bribery,"Robert Bredereck, Jiehua Chen, Piotr Faliszewski, André Nichterlein and Rolf Niedermeier","Game Theory and Economic Paradigms (GTEP Multiagent Systems (MAS)","preferenced-based votin campaign managemen computational (in)tractabilit parameterized complexity analysi approximation","GTEP: Game Theor GTEP: Social Choice / Votin MAS: E-Commerce","In the Shift Bribery problem, we are given an election (based on preference orders), a preferred candidate p, and a budget. The goal is to ensure that p wins by shifting p higher in some voters' preference orders. However, each such shift request comes at a price (depending on the voter and on the extent of the shift) and we must not exceed the given budget. We study the parameterized computational complexity of Shift Bribery with respect to a number of parameters (pertaining to the nature of the solution sought and the size of the election) and several classes of price functions. When we parameterize Shift Bribery by the number of affected voters, then for each of our voting rules (Borda, Maximin, Copeland) the problem is W[2]-hard. If, instead, we parameterize by the number of positions by which p is shifted in total, then the problem is fixed-parameter tractable for Borda and Maximin, and is W[1]-hard for Copeland. If we parameterize by the budget for the cost of shifting, then the results depend on the price function class. We also show that Shift Bribery tends to be tractable when parameterized by the number of voters, but that the results for the number of candidates are more enigmatic."
Decomposing Activities of Daily Living to Discover Routine Clusters,"Onur Yuruten, Jiyong Zhang and Pearl Pu",Machine Learning Applications (MLA),"activity recognitio activities of daily livin time series clusterin low rank and sparse matrix decomposition","MLA: Applications of Unsupervised Learnin MLA: Machine Learning Applications (General/other)","An activity recognition system tries to analyze measurements of activities of daily living (ADLs) and automatically recognize whether someone is sitting, walking or running. Most of the existing approaches either have to rely on a model trained by a preselected and manually labeled set of activities, or perform micro-pattern analysis method, which requires manual selection of the lengths and the number of micro-patterns. Because real life ADL datasets are massive, the cost associated with these manual efforts is too high. As a result, these approaches limit the discovery of ADL patterns from real life datasets in a scalable way We propose a novel approach to extract meaningful patterns found in time-series ADL data. We use a matrix decomposition method to isolate routines and deviations to obtain two different sets of clusters. We obtain the final memberships via the cross product of these sets. We validate our approach using two real-life ADL datasets and a well-known artificial dataset. Based on average silhouette width scores, our approach can capture strong structures in the underlying data. Furthermore, results show that our approach improves on the accuracy of the baseline algorithms by 12% with a statistical significance (p<0.05) using the Wilcoxon signed-rank comparison test."
On Hair Recognition in the Wild by Machine,Joseph Roth and Xiaoming Liu,Vision (VIS),"Visio Biometric Face Recognition","VIS: Face and Gesture Recognitio VIS: Statistical Methods and Learning","We present an algorithm for identity inference using only the information from the hair. Face recognition in the wild (i.e., unconstrained settings) is highly useful in a variety of applications, but performance suffers due to many factors, e.g., obscured face, lighting variation, extreme pose angle, and expression. It is well known that humans use hair information to guide identity decisions under many of these scenarios due to either the consistent hair appearance of the same subject or obvious hair discrepancy of different subjects, but little work exists to replicate this intelligence artificially. We propose a learned hair matcher using shape, color, and texture features derived from localized patches through an AdaBoost technique with abstaining weak classifiers when features are not present in the given location. The proposed hair matcher achieves 71.53% accuracy on the LFW View 2 dataset. Hair also reduces the error of a COTS face matcher through simple score-level fusion by 5.7%."
Capturing Relational Schemas and Functional Dependencies in RDFS,"Diego Calvanese, Wolfgang Fischl, Reinhard Pichler, Emanuel Sallinger and Mantas Simkus","AI and the Web (AIW Knowledge Representation and Reasoning (KRR)","identification constraint functional dependencie normal forms","AIW: Ontologies and the web: creation, extraction, evolution, mapping, merging, and alignment; tags and folksonomie KRR: Description Logic KRR: Knowledge Representation (General/Other)","Mapping relational data to RDF is an important task for the development of th Semantic Web. To this end, the W3C has recently released a Recommendation fo the so-called direct mapping of relational data to RDF. In this work, we propose an enrichment of the direct mapping to make it more faithful by transferring also semantic information present in the relational schema from the relational world to the RDF world. We thus introduce expressive identification constraints to capture functional dependencies and define an RDF Normal Form, which precisely captures the classical Boyce-Codd Normal Form of relational schemas."
Maximum Satisfiability using core-guided MaxSAT Resolution,Nina Narodytska and Fahiem Bacchus,Search and Constraint Satisfaction (SCS),"maximum satisfiabilit maxsat resolutio iterative SAT solvin weighted partial MaxSAT","SCS: Constraint Optimizatio SCS: SAT and CSP: Evaluation and Analysi SCS: SAT and CSP: Solvers and Tool SCS: Satisfiability (General/Other)","Core-guided approaches to solving MaxSat have proved to be  effective on industrial problems containing hard clauses and  weighted soft clauses (weighted partial MaxSat or WPM). These  approaches solve WPM problems by building a sequence of new WPM formulas, where in each formula a greater weight of soft clauses can be relaxed. Relaxation of the soft clauses is achieved via the addition of blocking variables to the soft clauses, along with constraints on these blocking variables. In this work we propose an alternative approach. Our approach also builds a sequence of new WPM formulas. However, these formulas are constructed using MaxSat resolution, a sound rule of inference for MaxSat. MaxSat resolution can in the worst case cause a quadratic blowup in the formula, so we propose a new compressed version of MaxSat resolution. Using compressed MaxSat resolution our new core-guided solver improves the state-of-the-art solving significantly more problems than other state-of-the-art solvers on the industrial benchmarks used in the 2013 MaxSat Solver Evaluation."
Mind the Gap: Machine Translation by Minimizing the Semantic Gap in Embedding Space,Jiajun Zhang,"NLP and Knowledge Representation (NLPKR NLP and Machine Learning (NLPML)","Statistical Machine Translatio Semantic Phrase Representatio Recursive Neural Network Semantic Gap Minimization","NLPKR: Natural Language Processing (General/Other NLPML: Natural Language Processing (General/Other)","The conventional statistical machine translation (SMT) methods perform the decoding process by compositing a set of the translation rules which have the highest probability. However, the probabilities of the translation rules are calculated only according to the cooccurrence statistics in the bilingual corpus rather than the semantic meaning similarity. In this paper, we propose a Recursive Neural Network (RNN) based model that converts each translation rule into a compact real-valued vector in the semantic embedding space and performs the decoding process by minimizing the semantic gap between the source language string and its translation candidates at each state in a bottom-up structure. The RNN-based translation model is trained using a max-margin objective function. Extensive experiments on Chinese-to-English translation show that our RNN-based model can significantly improve the translation quality by up to 1.68 BLEU score."
Rounded Dynamic Programming for Tree-Structured Stochastic Network Design,"Xiaojian Wu, Daniel Sheldon and Shlomo Zilberstein","Computational Sustainability and AI (CSAI Heuristic Search and Optimization (HSO Planning and Scheduling (PS)","stochastic network desig dynamic programmin barrier remova river network influence maximizatio stochastic optimization","CSAI: Modeling and prediction of dynamic and spatiotemporal phenomena and system CSAI: Control and optimization of dynamic and spatiotemporal system CSAI: Network modeling, prediction, and optimization HSO: Optimizatio PS: Probabilistic Planning","We develop a fast approximation algorithm called rounded dynamic programming (RDP) for stochastic network design problems on directed trees. The underlying model describes phenomena that spread away from the root of a tree, for example, the spread of influence in a hierarchical organization or fish in a river network. Actions can be taken to intervene in the network—for some cost—to increase the probability of propagation along an edge. Our algorithm selects a set of actions to maximize the overall spread in the network under a limited budget. We prove that the algorithm is a fully polynomial-time approximation scheme (FPTAS), that is, it finds (1−ε)-optimal solutions in time polynomial in the input size and 1/ε. We apply the algorithm to an important motivating problem in Computational Sustainability: that of efficiently allocating funds to remove barriers in a river network so fish can reach greater portions of their native range. Our experiments show that our algorithm is able to produce near- optimal solutions much faster than an existing technique."
Incentives for Truthful Information Elicitation of Continuous Signals,Goran Radanovic and Boi Faltings,"Game Theory and Economic Paradigms (GTEP Human-Computation and Crowd Sourcing (HCC Multiagent Systems (MAS)","Mechanism Desig Information elicitatio Peer prediction","GTEP: Game Theor GTEP: Equilibriu GTEP: Imperfect Informatio HCC: Game-theoretic mechanism design of incentives for motivation and honest reportin MAS: E-Commerc MAS: Mechanism Desig MAS: Multiagent Systems (General/other)","Information elicitation mechanisms represent an important component of many information aggregation techniques, such as product reviews, community sensing, or opinion polls. We propose a novel mechanism that elicits both private signals and beliefs. The mechanism extends the previous versions of the Bayesian Truth Serums (the original BTS, the RBTS, and the multi-valued BTS), by allowing small populations and non-binary private signals, while not requiring additional assumptions on the belief updating process. For priors that are sufficiently smooth, such as Gaussians, the mechanism allows signals to be continuous."
Equilibria in Epidemic Containment Games,"Sudip Saha, Abhijin Adiga and Anil Kumar S. Vullikanti","Applications (APP Computational Sustainability and AI (CSAI Game Theory and Economic Paradigms (GTEP Multiagent Systems (MAS)","network security gam nash equilibri malware propagatio epidemic contro securit protectio network infectio immunizatio graph theor game theor spectral radius","APP: Security and Privac CSAI: Modeling the interactions of agents with different and often conflicting interest GTEP: Game Theor GTEP: Equilibriu MAS: Evaluation and Analysis (Multiagent Systems MAS: Multiagent Systems (General/other)","The spread of epidemics and malware is commonly modeled by diffusion processe on networks. Protective interventions such as vaccinations or installing anti-virus software are used to contain their spread. Typically, each node in the network has to decide its own strategy of securing itself, and its benefit depends on which other nodes are secure, making this a natural game-theoretic setting. There has been a lot of work on network security game models, but most of the focus has been either on simplified epidemic models or homogeneous network structure We develop a new formulation for an epidemic containment game, which relies on th characterization of the SIS model in terms of the spectral radius of the network We show that, in this model, pure Nash equilibria (NE) always exist, and can be found by a best response strategy. We analyze the complexity of finding NE, and derive rigorous bounds on their costs and the Price of Anarchy or PoA (the ratio of the costs of the worst NE to the best NE) in general graphs as well as in random graph models. In particular, for arbitrary power-law graphs with exponent $\beta>2$, we show that the PoA is bounded by $O(T^{2(\beta-1)})$, where $T=\gamma/\alpha$ is the ratio of the recovery rate to the transmission rate in the SIS model For the Chung-Lu random power-law graph model, we prove this bound is tight for the PoA. We study the characteristics of Nash equilibria empirically in different real communication and infrastructure networks, and find that our analytical results can help explain some of the empirical observations."
Beat the Cheater: Computing Game-Theoretic Strategies for When to Kick a Gambler out of a Casino,"Troels Bjerre Sørensen, Melissa Dalis, Joshua Letchford, Dmytro Korzhyk and Vincent Conitzer","Game Theory and Economic Paradigms (GTEP Multiagent Systems (MAS)","Securit Stackelber Gamblin Game Theory","GTEP: Game Theor GTEP: Equilibriu GTEP: Imperfect Information","Gambles in casinos are usually set up so that the casino makes a profit in expectation---as long as gamblers play honestly. However, some gamblers are able to cheat, reducing the casino's profit. How should the casino address this? A common strategy is to selectively kick gamblers out, possibly even without being sure that they were cheating. In this paper, we address the following question. Based solely on a gambler's track record, when is it optimal for the casino to kick the gambler out? Because cheaters will adapt to the casino's policy, this is a game-theoretic question. Specifically, we model the problem as a Bayesian game in which the casino is a Stackelberg leader that can commit to a (possibly randomized) policy for when to kick gamblers out, and provide efficient algorithms for computing the optimal policy Besides being potentially useful to casinos, we imagine that similar techniques could be useful for addressing related problems---for example, illegal trades in financial markets."
A Characterization of the Single-Peaked Single-Crossing Domain,"Edith Elkind, Piotr Faliszewski and Piotr Skowron","Game Theory and Economic Paradigms (GTEP Multiagent Systems (MAS)","election votin single-peake single-crossin 1-Euclidea proportional representatio Monro algorithms","GTEP: Game Theor GTEP: Social Choice / Votin MAS: E-Commerce","We investigate elections that are simultaneously single-peaked and single-crossin (SPSC). We show that the domain of 1-dimensional Euclidean elections (where voters and candidates are points on the real line, and each voter prefers the candidates that are close to her to the ones that are further away) is a proper subdomain of the SPSC domain, by constructing an election that is single-peaked and single-crossing, but not 1-Euclidean. We then establish a connection between narcissistic elections (where each candidate is ranked first by at least one voter), single-peaked elections and single-crossing elections, by showing that an election is SPSC if and only if it can be obtained from a narcissistic single-crossing election by deleting voters. We use this characterization to show that the SPSC domain admits an efficient algorithm for a problem in fully proportional representation."
A Support-Based Algorithm for the Bi-Objective Pareto Constraint,Renaud Hartert and Pierre Schaus,Search and Constraint Satisfaction (SCS),"Constraint Programmin Bi-Objective Combinatorial Optimizatio Global Constrain Pareto Constraint","SCS: Constraint Satisfactio SCS: Constraint Optimizatio SCS: Global Constraints","Bi-objective combinatorial optimization problems are ubiquitous in real-world applications and designing approaches to solve them efficiently is an important research area of Artificial Intelligence. In Constraint Programming, the recently introduced bi-objective Pareto constraint allows one to solve bi-objective combinatorial optimization problems exactly. Using this constraint, every non-dominated solution is collected in a single tree-search while pruning sub-trees that cannot lead to a non-dominated solution. This paper introduces a simpler and more efficient filtering algorithm for the bi-objective Pareto constraint. The efficiency of our algorithm is experimentally confirmed on classical bi-objective benchmarks."
HC-Search for Multi-Label Prediction: An Empirical Study,"Janardhan Rao Doppa, Jun Yu, Chao Ma, Alan Fern and Prasad Tadepalli",Novel Machine Learning Algorithms (NMLA),"Supervised Learnin Multi-Label Classificatio Structured Prediction",NMLA: Supervised Learning (Other),"Multi-label learning concerns learning multiple, overlapping, and correlated classes. In this paper, we adapt a recent structured prediction framework called HC-Search for multi-label prediction problems. One of the main advantages of this framework is that its training is sensitive to the loss function, unlike the other multi-label approaches that either assume a specific loss function or require a manual adaptation to each loss function. We empirically evaluate our instantiation of the HC-Search framework along with many existing multi-label learning algorithms on a variety of benchmarks by employing diverse task loss functions. Our results demonstrate that the performance of existing algorithms tends to be very similar in most cases, and that the HC-Search approach is comparable and often better than all other algorithms across different loss functions."
Semi-supervised Matrix Completion for Cross-Lingual Text Classification,Min Xiao and Yuhong Guo,"Machine Learning Applications (MLA Novel Machine Learning Algorithms (NMLA)","cross lingual classificatio semi-supervised learnin matrix completion","MLA: Machine Learning Applications (General/other NMLA: Classificatio NMLA: Semisupervised Learning","Cross-lingual text classification is the task of assigning labels to a given document in a label-scarce target language by using a prediction model trained with labeled documents from a label-rich source language, which is popularly studied in the natural language processing area as it can largely decrease the expensive manual annotation effort in the target language. In this work, we proposed a novel semi-supervised representation learning approach to address this challenging task, which discovers interlingual features by simultaneously performing semi-supervised matrix completion. To evaluate the proposed learning technique, we conducted extensive experiments on eighteen cross language sentiment classification tasks with four different languages. The empirical results demonstrated the efficacy of our approach and outperformed the other comparison methods."
Approximate Lifting Techniques for Belief Propagation,"Parag Singla, Aniruddh Nath and Pedro Domingos",Reasoning under Uncertainty (RU),"Lifted Inferenc Belief Propagatio Graphical Models","RU: Graphical Models (Other RU: Probabilistic Inferenc RU: Relational Probabilistic Models","Many AI applications need to explicitly represent the relational structure as well as handle uncertainty. First order probabilistic models combine the power of logic and probability to deal with such domains. A naive approach to inference in these models is to propositionalize the whole theory and carry out the inference on the ground network. Lifted inference techniques (such as Lifted Belief Propagation; Singla & Domingos, 2008) provide a scalable approach to inference by combining together groups of objects which behave identically. In many cases, constructing the lifted network can itself be quite costly. In addition, the exact lifted network is often very close in size to the fully propositionalized model. To overcome these problems, we present approximate lifted inference, which groups together similar but distinguishable objects and treats them as if they were identical. Early stopping terminates the execution of the lifted network construction at an early stage resulting in a coarser network. Noise tolerant hypercubes allow for marginal errors in the representation of the lifted network itself. Both of our algorithms can significantly speed-up the process of lifted network construction as well as result in much smaller models. The coarseness of the approximation can be adjusted depending on the accuracy required, and we can bound the resulting error. Extensive evaluation on six domains demonstrates great efficiency gains with only minor (or no) loss in accuracy."
Cost-Based Query Optimization via AI Planning,"Nathan Robinson, Sheila Mcilraith and David Toman","Knowledge Representation and Reasoning (KRR Planning and Scheduling (PS)","relational query optimizatio delete-free plannin cost-optimal plannin heuristic searc applications of planning","KRR: Knowledge Representation (General/Other PS: Deterministic Plannin PS: Planning (General/Other)","The generation of high quality query plans is at the heart of query processing in traditional database management systems as well as in heterogeneous distributed data sources on corporate intranets and in the cloud. A diversity of techniques are employed for query plan generation and optimization, many of them proprietary. In this paper we revisit the problem of generating a query plan using AI automated planning. Characterizing query planning as AI planning enables us to leverage state-of-the-art planning techniques -- techniques which have proven to be highly effective for a diversity of dynamical reasoning tasks. While our long-term view is broad, here our efforts focus on the specific problem of cost-based join-order optimization, a central component of production-quality query optimizers. We characterize the general query planning problem as a delete-free planning problem, and query plan optimization as a context-sensitive cost-optimal planning problem. We propose algorithms that generate high quality query plans, guaranteeing optimality under certain conditions. Our approach is general, supporting the use of a broad suite of domain-independent and domain-specific optimization criteria. Experimental results demonstrate the effectiveness of AI planning techniques for query plan generation and optimization."
Efficient buyer groups for prediction-of-use electricity tariffs,"Valentin Robu, Meritxell Vinyals, Alex Rogers and Nick Jennings","Computational Sustainability and AI (CSAI Game Theory and Economic Paradigms (GTEP Multiagent Systems (MAS)","electricity tarif group buyin smart grid","CSAI: Modeling the interactions of agents with different and often conflicting interest CSAI: Support for public engagement and decision making by the publi GTEP: Coordination and Collaboratio MAS: Coordination and Collaboratio MAS: Evaluation and Analysis (Multiagent Systems)","Current electricity tariffs do not reflect the real cost that customers incur to suppliers, as units are charged at the same rate, regardless of how predictable each customer's consumption is. A recent proposal to address this problem are prediction-of-use tariffs. In such tariffs, a customer is asked in advance to predict her future consumption, and is charged based both on her actual consumption and the deviation from her prediction. Prior work studied the cost game induced by a single such tariff, and showed consumers would have an incentive to minimize their risk, by joining together when buying electricity as a grand coalition. In this work we study the efficient (i.e. cost-minimizing) structure of buying groups for the more realistic setting when multiple, competing prediction-of-use tariffs are available. We propose a polynomial time algorithm to compute efficient buyer groups, and validate our approach experimentally, using a large-scale data set of domestic electricity consumers in the UK."
Distribution-Aware Sampling and Weighted Model Counting for SAT,"Supratik Chakraborty, Daniel J. Fremont, Kuldeep S. Meel, Sanjit A. Seshia and Moshe Vardi",Search and Constraint Satisfaction (SCS),"Weighted Model Countin Weight Generatio SAT","SCS: SAT and CSP: Evaluation and Analysi SCS: SAT and CSP: Solvers and Tool SCS: Satisfiability (General/Other)","Given a CNF formula and a weight for each assignment of values t variables, two natural problems are weighted model counting an distribution-aware sampling of satisfying assignments.  Both problems have a wide variety of important applications.  Due to the inheren complexity of the exact versions of the problems, interest has focuse on solving them approximately.  Prior work in this area scaled only t small problems in practice, or failed to provide strong theoretica guarantees, or employed a computationally-expensive maximum a poste riori probability (MAP) oracle that assumes prior knowledge of  factored representation of the weight distribution.  We present  novel approach that works with a black-box oracle for weights o assignments and requires only an {\NP}-oracle to solve both th counting and sampling problems.  Our approach works under mild assumptions on the distribution of weights of satisfyin assignments, provides strong theoretical guarantees, and scales t problems involving several thousand variables. We also show that th assumptions can be significantly relaxed if a factored representation of the weights is known."
Online and Stochastic Learning with a Human Cognitive Bias,Hidekazu Oiwa and Hiroshi Nakagawa,"Human-Computation and Crowd Sourcing (HCC Novel Machine Learning Algorithms (NMLA)","Machine Learnin Human Cognitive Bia Online Learnin Stochastic Learnin Endowment effect","HCC: Optimality in the context of human computatio NMLA: Classificatio NMLA: Online Learning","Sequential learning for classification tasks is an effective tool in the machine learning community. In sequential learning settings, algorithms sometimes make incorrect predictions on data that were correctly classified in the past. This paper explicitly deals with such inconsistent prediction behavior. Our main contributions are 1) to experimentally show its effect for user utilities as a human cognitive bias, 2) to formalize a new framework by internalizing this bias into the optimization problem, 3) to develop new algorithms without memorization of the past prediction history, and 4) to show some theoretical guarantees of our derived algorithm for both online and stochastic learning settings. Our experimental results show the superiority of the derived algorithm for problems involving human cognition."
Adaptive Singleton-based Consistencies,"Amine Balafrej, Christian Bessiere, Gilles Trombettoni and El Houssine Bouyakhf",Search and Constraint Satisfaction (SCS),"CS Singleton-based Consistencie Adaptive Consistencies",SCS: Constraint Satisfaction,"Singleton-based consistencies have been shown to dramaticall    improve the performance of constraint solvers on some difficul    instances. However, they are in general too expensive to be applie    exhaustively during the whole search. In this paper, we focus o    partition-one-AC, a singleton-based consistency which, as oppose    to singleton arc consistency, is able to prune values on al    variables at each singleton test    We propose adaptive variants of partition-one-AC that do no    necessarily run until having proved the fixpoint. The prunin    can be weaker than the full version but the computational effor    can be significantly reduced. Our experiment    show that adaptive Partition-one-AC can obtain significant speedups over ar    consistency and over the full version of partition-one-AC."
Scheduling for Transfers in Pickup and Delivery Problems with Very Large Neighborhood Search,Brian Coltin and Manuela Veloso,Planning and Scheduling (PS),"schedulin transfer PDP","HSO: Heuristic Searc HSO: Metareasoning and Metaheuristic PS: Scheduling","In pickup and delivery problems (PDPs), vehicles pick up and deliver a set of items under various constraints. We extend the well-studied PDP by allowing vehicles to transfer items to and from one another. By scheduling transfers, the fleet of vehicles can deliver the items faster and at lower cost. We introduce the Very Large Neighborhood Search with Transfers (VLNS-T) algorithm to form schedules for PDPs with transfers. We show that VLNS-T algorithm makes use of transfers to improve upon the best known solutions for selected benchmark problems, and demonstrate its effectiveness on real world taxi data in New York City."
Unsupervised Alignment of Natural Language Instructions with Video Segments,"Iftekhar Naim, Young Song, Qiguang Liu, Henry Kautz, Jiebo Luo and Daniel Gildea","Machine Learning Applications (MLA NLP and Machine Learning (NLPML)","Unsupervised Video Alignmen Grounded Language Acquisitio HM IBM Model  Language and Vision","MLA: Applications of Unsupervised Learnin NLPML: Natural Language Processing (General/Other VIS: Language and Vision","We propose an unsupervised learning algorithm for automatically inferring the mappings between English nouns and corresponding video objects. Given a sequence of natural language instructions and an unaligned video recording, we simultaneously align each instruction to its corresponding video segment, and also align nouns in each instruction to their corresponding objects in video. While existing grounded language acquisition algorithms rely on pre-aligned supervised data (each sentence paired with corresponding image frame or video segment), our algorithm aims to automatically infer the alignment from the temporal structure of the video and parallel text instructions. We propose two generative models that are closely related to the HMM and IBM 1 word alignment models used in statistical machine translation. We evaluate our algorithm on videos of biological experiments performed in wetlabs, and demonstrate its capability of aligning video segments to text instructions and matching video objects to nouns in the absence of any direct supervision."
